Time, Temp (C), Humidity (%)
2022-01-28 22:41:07.554689, 18.5, 62.0
2022-01-28 22:41:22.806208, 18.5, 62.0
2022-01-28 22:41:27.892628, 18.5, 62.0
2022-01-28 22:41:38.061873, 18.5, 62.0
2022-01-28 22:41:43.148458, 18.5, 62.0
2022-01-28 22:41:48.234961, 18.5, 63.0
2022-01-28 22:41:53.321630, 18.5, 63.0
2022-01-28 22:41:58.408396, 18.5, 63.0
2022-01-28 22:42:03.494566, 18.5, 63.0
2022-01-28 22:42:13.664164, 18.5, 63.0
2022-01-28 22:42:18.750687, 18.5, 63.0
2022-01-28 22:42:23.837226, 18.5, 63.0
2022-01-28 22:42:28.923752, 18.5, 63.0
2022-01-28 22:42:34.008330, 18.5, 63.0
2022-01-28 22:42:39.094869, 18.5, 63.0
2022-01-28 22:42:49.264336, 18.5, 63.0
2022-01-28 22:42:54.350911, 18.5, 63.0
2022-01-28 22:42:59.436705, 18.5, 63.0
2022-01-28 22:43:04.523268, 18.5, 63.0
2022-01-28 22:43:09.609834, 18.5, 63.0
2022-01-28 22:43:14.696466, 18.5, 63.0
2022-01-28 22:43:24.863032, 18.5, 63.0
2022-01-28 22:43:35.031980, 18.4, 63.0
2022-01-28 22:43:40.118680, 18.5, 63.0
2022-01-28 22:43:45.205925, 18.5, 63.0
2022-01-28 22:43:55.374856, 18.5, 63.0
2022-01-28 22:44:00.459954, 18.5, 63.0
2022-01-28 22:44:05.545987, 18.5, 63.0
2022-01-28 22:44:10.632727, 18.5, 63.0
2022-01-28 22:44:15.719518, 18.4, 63.0
2022-01-28 22:44:20.805568, 18.4, 63.0
2022-01-28 22:44:25.890286, 18.4, 63.0
2022-01-28 22:44:30.976777, 18.4, 63.0
2022-01-28 22:44:41.146457, 18.4, 63.0
2022-01-28 22:44:46.232913, 18.4, 63.0
2022-01-28 22:45:01.483190, 18.4, 63.0
2022-01-28 22:45:06.568755, 18.4, 63.0
2022-01-28 22:45:11.654534, 18.4, 63.0
2022-01-28 22:45:21.823833, 18.4, 63.0
2022-01-28 22:45:31.993555, 18.4, 63.0
2022-01-28 22:45:37.080110, 18.4, 63.0
2022-01-28 22:45:42.166631, 18.4, 63.0
2022-01-28 22:45:47.253115, 18.4, 63.0
2022-01-28 22:45:52.339742, 18.4, 63.0
2022-01-28 22:45:57.426024, 18.4, 63.0
2022-01-28 22:46:02.512097, 18.4, 63.0
2022-01-28 22:46:07.598495, 18.4, 63.0
2022-01-28 22:46:12.682673, 18.4, 63.0
2022-01-28 22:46:17.765691, 18.4, 63.0
2022-01-28 22:46:22.852034, 18.4, 63.0
2022-01-28 22:46:27.934380, 18.4, 63.0
2022-01-28 22:46:33.020907, 18.4, 63.0
2022-01-28 22:46:38.103158, 18.4, 63.0
2022-01-28 22:46:43.189924, 18.4, 63.0
2022-01-28 22:46:48.276405, 18.3, 63.0
2022-01-28 22:46:58.442732, 18.4, 63.0
2022-01-28 22:47:03.528212, 18.4, 63.0
2022-01-28 22:47:08.609929, 18.4, 63.0
2022-01-28 22:47:13.695503, 18.4, 63.0
2022-01-28 22:47:23.863015, 18.3, 63.0
2022-01-28 22:47:39.112604, 18.3, 63.0
2022-01-28 22:47:44.193298, 18.3, 63.0
2022-01-28 22:47:49.279404, 18.3, 63.0
2022-01-28 22:47:54.365509, 18.3, 63.0
2022-01-28 22:48:04.533115, 18.3, 63.0
2022-01-28 22:48:09.613696, 18.3, 63.0
2022-01-28 22:48:14.700330, 18.3, 63.0
2022-01-28 22:48:19.786720, 18.3, 63.0
2022-01-28 22:48:24.872681, 18.3, 64.0
2022-01-28 22:48:29.959327, 18.3, 63.0
2022-01-28 22:48:35.043386, 18.3, 63.0
2022-01-28 22:48:45.212448, 18.3, 64.0
2022-01-28 22:48:50.298765, 18.3, 64.0
2022-01-28 22:48:55.382783, 18.3, 64.0
2022-01-28 22:49:00.467396, 18.3, 64.0
2022-01-28 22:49:05.553512, 18.3, 64.0
2022-01-28 22:49:10.639531, 18.3, 64.0
2022-01-28 22:49:15.721991, 18.3, 64.0
2022-01-28 22:49:20.808296, 18.3, 64.0
2022-01-28 22:49:25.893918, 18.3, 64.0
2022-01-28 22:49:30.980181, 18.3, 64.0
2022-01-28 22:49:36.067772, 18.3, 64.0
2022-01-28 22:49:41.153777, 18.3, 64.0
2022-01-28 22:49:46.239793, 18.3, 64.0
2022-01-28 22:49:51.322886, 18.3, 64.0
2022-01-28 22:49:56.408294, 18.3, 64.0
2022-01-28 22:50:01.492860, 18.3, 64.0
2022-01-28 22:50:11.661553, 18.3, 64.0
2022-01-28 22:50:16.747707, 18.3, 64.0
2022-01-28 22:50:21.834098, 18.3, 64.0
2022-01-28 22:50:26.919427, 18.3, 64.0
2022-01-28 22:50:37.082699, 18.3, 64.0
2022-01-28 22:50:42.168396, 18.3, 64.0
2022-01-28 22:50:47.254414, 18.3, 64.0
2022-01-28 22:50:52.336928, 18.3, 64.0
2022-01-28 22:50:57.423016, 18.3, 64.0
2022-01-28 22:51:07.592069, 18.3, 64.0
2022-01-28 22:51:12.678160, 18.3, 64.0
2022-01-28 22:51:17.763667, 18.3, 64.0
2022-01-28 22:51:38.092822, 18.3, 64.0
2022-01-28 22:51:43.178699, 18.2, 64.0
2022-01-28 22:51:48.264321, 18.3, 64.0
2022-01-28 22:51:53.350550, 18.3, 64.0
2022-01-28 22:51:58.436662, 18.3, 64.0
2022-01-28 22:52:03.522755, 18.3, 64.0
2022-01-28 22:52:08.608291, 18.3, 64.0
2022-01-28 22:52:13.694123, 18.3, 64.0
2022-01-28 22:52:18.779550, 18.2, 64.0
2022-01-28 22:52:23.861408, 18.3, 64.0
2022-01-28 22:52:28.947362, 18.2, 64.0
2022-01-28 22:52:34.032869, 18.2, 64.0
2022-01-28 22:52:39.119556, 18.3, 64.0
2022-01-28 22:52:44.204926, 18.2, 64.0
2022-01-28 22:52:54.372036, 18.2, 64.0
2022-01-28 22:52:59.458510, 18.2, 64.0
2022-01-28 22:53:04.544327, 18.2, 64.0
2022-01-28 22:53:09.630299, 18.2, 64.0
2022-01-28 22:53:14.716623, 18.3, 64.0
2022-01-28 22:53:19.802609, 18.2, 64.0
2022-01-28 22:53:24.888462, 18.2, 64.0
2022-01-28 22:53:29.974632, 18.3, 64.0
2022-01-28 22:53:40.144336, 18.2, 64.0
2022-01-28 22:53:45.230388, 18.2, 64.0
2022-01-28 22:53:50.316300, 18.2, 64.0
2022-01-28 22:53:55.401847, 18.2, 64.0
2022-01-28 22:54:00.486725, 18.2, 64.0
2022-01-28 22:54:05.572660, 18.2, 64.0
2022-01-28 22:54:10.658651, 18.2, 64.0
2022-01-28 22:54:15.744548, 18.2, 64.0
2022-01-28 22:54:25.912131, 18.2, 64.0
2022-01-28 22:54:30.998030, 18.2, 64.0
2022-01-28 22:54:36.082677, 18.2, 64.0
2022-01-28 22:54:46.250946, 18.2, 64.0
2022-01-28 22:54:51.336854, 18.2, 64.0
2022-01-28 22:54:56.422669, 18.2, 64.0
2022-01-28 22:55:01.508207, 18.2, 64.0
2022-01-28 22:55:06.595585, 18.2, 64.0
2022-01-28 22:55:11.682760, 18.2, 64.0
2022-01-28 22:55:16.768515, 18.2, 64.0
2022-01-28 22:55:21.854560, 18.2, 64.0
2022-01-28 22:55:32.022936, 18.2, 64.0
2022-01-28 22:55:37.108911, 18.2, 64.0
2022-01-28 22:55:42.194180, 18.2, 64.0
2022-01-28 22:55:47.279664, 18.2, 64.0
2022-01-28 22:55:52.365727, 18.2, 64.0
2022-01-28 22:55:57.451599, 18.2, 64.0
2022-01-28 22:56:02.537539, 18.2, 64.0
2022-01-28 22:56:07.623424, 18.2, 64.0
2022-01-28 22:56:17.791589, 18.2, 64.0
2022-01-28 22:56:22.877646, 18.2, 64.0
2022-01-28 22:56:33.042709, 18.2, 64.0
2022-01-28 22:56:38.127169, 18.2, 64.0
2022-01-28 22:56:43.212639, 18.2, 64.0
2022-01-28 22:56:48.298568, 18.2, 64.0
2022-01-28 22:56:53.384034, 18.2, 64.0
2022-01-28 22:56:58.467564, 18.2, 64.0
2022-01-28 22:57:03.552535, 18.2, 64.0
2022-01-28 22:57:13.719493, 18.2, 64.0
2022-01-28 22:57:18.805527, 18.2, 64.0
2022-01-28 22:57:23.891335, 18.2, 64.0
2022-01-28 22:57:34.056751, 18.2, 64.0
2022-01-28 22:57:39.142650, 18.2, 64.0
2022-01-28 22:57:44.228337, 18.2, 64.0
2022-01-28 22:57:49.314473, 18.2, 64.0
2022-01-28 22:57:59.482875, 18.2, 64.0
2022-01-28 22:58:14.733543, 18.2, 64.0
2022-01-28 22:58:24.901674, 18.2, 64.0
2022-01-28 22:58:29.988070, 18.2, 64.0
2022-01-28 22:58:35.072689, 18.2, 64.0
2022-01-28 22:58:40.158283, 18.2, 64.0
2022-01-28 22:58:45.243027, 18.2, 64.0
2022-01-28 22:58:50.328943, 18.2, 64.0
2022-01-28 22:58:55.417735, 18.2, 64.0
2022-01-28 22:59:00.504491, 18.2, 64.0
2022-01-28 22:59:10.672797, 18.1, 64.0
2022-01-28 22:59:15.758526, 18.1, 64.0
2022-01-28 22:59:20.844398, 18.2, 64.0
